自用测试,#genre#
CCTV-1,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV-2,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV-3,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV-4,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV-5,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV-5+,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV-6,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203303.m3u8
CCTV-7,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV-8,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV-9,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV-10,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV-11,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV-12,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV-13,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV-14,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV-15,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV-16,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2012375003.m3u8
CCTV-17,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204203.m3u8
CCTV-4K,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000266303.m3u8
CCTV16-4K,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2012492303.m3u8
CCTV怀旧剧场,http://58.205.220.58/tlivectfree-cdn.ysp.cctv.cn/ysp/2012511203.m3u8
北京卫视,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000272103.m3u8
深圳卫视,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000292203.m3u8
东方卫视,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000292403.m3u8
广东卫视,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000292703.m3u8
浙江卫视,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000295503.m3u8
江苏卫视,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000295603.m3u8
湖南卫视,http://58.205.220.45/tlivectfree-cdn.ysp.cctv.cn/ysp/2000296203.m3u8
凤凰资讯HD,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEEWQKN4/timeshift.m3u8?txKbps=702&delay=1
凤凰中文HD,http://playtimeshift-live.ifeng.com:80/timeshift/live/06OLEGEGM4G/timeshift.m3u8?txKbps=702&delay=300
凤凰资讯,http://183.129.242.178:3333/tsfile/live/1003_1.m3u8
凤凰中文,http://183.129.242.178:3333/tsfile/live/1001_1.m3u8
凤凰香港,http://39.135.138.58:18890/PLTV/88888888/224/3221226251/index.m3u8
无线财经体育资讯台,https://pull-l3-cny.douyincdn.com/live/YesLiveTV-df831e63-a667-4efb-b18b-46ac9af40dbc.m3u8
无线新闻台,https://pull-l3-cny.douyincdn.com/live/stream-1452172023043011035.m3u8

港台,#genre#
凤凰资讯,http://112.102.214.193:65530/live/fhzx/index.m3u8
凤凰资讯,http://yuniptvunql.chinayungu.cn:65530/live/fhzx/index.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.flv
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.flv
凤凰资讯,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEEWQKN4/timeshift.m3u8?delay=33942
凤凰中文,http://112.102.214.193:65530/live/fhzw/index.m3u8
凤凰中文,http://yuniptvunql.chinayungu.cn:65530/live/fhzw/index.m3u8
凤凰中文,http://123.51.230.108:8515/.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.flv
凤凰资讯,http://123.51.230.108:18580/.m3u8
凤凰中文,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226248/index.m3u8
凤凰中文,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEGEGM4G/timeshift.m3u8?delay=1644
凤凰香港,http://39.135.138.58:18890/PLTV/88888888/224/3221226251/index.m3u8
